title,link,published,summary
The Incredible Physics of Simone Biles’ Yurchenko Double Pike,https://www.wired.com/story/the-incredible-physics-of-simone-biles-yurchenko-double-pike/,"Wed, 31 Jul 2024 21:37:12 +0000",Calculating angular velocity and the moment of inertia isn’t quite as hard as competing in the 2024 summer Olympics gymnastics tournament—but it’s pretty darn tough.
"Amazon Has to Recall More Than 400,000 Dangerous Products",https://www.wired.com/story/amazon-third-party-defective-recall-legally-responsible/,"Wed, 31 Jul 2024 21:29:08 +0000","Regulators found that Amazon is responsible for defective products sold by its third-party vendors—which include flammable pajamas, faulty carbon monoxide detectors, and hair dryers that could electrocute you."
Election Deniers Are Ramping Up Efforts to Disenfranchise US Voters,https://www.wired.com/story/election-deniers-efforts-disenfranchise-voters/,"Wed, 31 Jul 2024 16:55:32 +0000","After working for months to challenge thousands of voter registrations, election denial groups are now pushing ahead with plans to challenge voters and votes ahead of the election."
Meet the Swifties Campaigning for Kamala Harris,https://www.wired.com/story/swifties-campaigning-for-kamala-harris/,"Wed, 31 Jul 2024 15:31:10 +0000",Taylor Swift enthusiasts’ experience operating stan accounts has provided them with the skills to organize—and the vice president’s campaign is getting in on the action.
"The Best Cat Furniture, Scratching Posts, and Litter Boxes (2024)",https://www.wired.com/story/fancy-cat-furniture/,"Wed, 31 Jul 2024 15:08:00 +0000","Your cat needs scratching posts and litter boxes, but they don’t have to be ugly."
Moog Muse Review: A Machine for Musical Inspiration,https://www.wired.com/review/moog-muse-review/,"Wed, 31 Jul 2024 14:00:00 +0000","This eight-voice analog synthesizer isn’t cheap, but it delivers a lot for the money."
Google Cracks Down on Explicit Deepfakes,https://www.wired.com/story/google-tries-to-crack-down-on-explicit-deepfakes/,"Wed, 31 Jul 2024 13:00:00 +0000","Newly announced measures by the search giant aim to make AI-generated, or otherwise spoofed explicit content, more difficult to discover."
'Date Like Goblins' Thinks Playing Games Can Fix Dating Apps,https://www.wired.com/story/dating-apps-suck-date-like-goblins/,"Wed, 31 Jul 2024 13:00:00 +0000",More niche dating apps hope to disrupt the dominance of giants like Tinder and Hinge. The latest encourages people to date in “goblin mode.”
Donald Trump’s Plan to Hoard Billions in Bitcoin Has Economists Stumped,https://www.wired.com/story/donald-trumps-plan-to-hoard-billions-in-bitcoin-has-economists-stumped/,"Wed, 31 Jul 2024 12:13:03 +0000","The former US president has promised to establish a ""national bitcoin stockpile"" if he’s reelected and use it to offset inflation. But economists think the plan has little merit."
10 Best Apple AirPods Cases We've Tried and Tested (2024),https://www.wired.com/gallery/best-apple-airpods-cases/,"Wed, 31 Jul 2024 12:02:00 +0000","From a can of Spam to a mini suitcase, these are our favorite ways to disguise (and protect) Apple’s wireless earbuds and over-the-ear headphones."
How to Create Your Own Browser Extension,https://www.wired.com/story/how-to-write-your-own-browser-extension/,"Wed, 31 Jul 2024 11:00:00 +0000","This DIY coding project can add useful utility to Chrome, Firefox, or your daily web browser."
Can GPT-4o Be Trusted With Your Private Data?,https://www.wired.com/story/can-chatgpt-4o-be-trusted-with-your-private-data/,"Wed, 31 Jul 2024 10:00:00 +0000","OpenAI’s newest model is “a data hoover on steroids,” says one expert—but there are still ways to use it while minimizing risk."
"Nothing Phone (2a) Plus With AI News Widget: Specs, Prices, Availability",https://www.wired.com/story/nothing-news-reporter-widget-nothing-phone-2a-plus/,"Wed, 31 Jul 2024 09:30:00 +0000","The company has bafflingly turned to its head of finance to be the unlikely voice of its irreverent news app—now available on all Nothing and CMF handsets, including the new Phone (2a) Plus."
"The Best Sex Machines for Solo, Couple, or Long-Distance Playtime (2024)",https://www.wired.com/gallery/best-sex-machines/,"Wed, 31 Jul 2024 08:00:00 +0000","If you’re going to invest in toys to enhance your sex life, why not go big?"
The Affordable Connectivity Program Died—and Thousands of Households Have Already Lost Their Internet,https://www.wired.com/story/affordable-care-act-low-income-households-lose-internet/,"Tue, 30 Jul 2024 20:36:51 +0000","The ACP provided affordable internet connectivity to low-income Americans. Since it expired in May, around 100,000 Charter subscribers have had to pull the plug."
The 51 Best Shows on Disney+ Right Now (August 2024),https://www.wired.com/story/best-shows-disney-plus/,"Tue, 30 Jul 2024 19:00:00 +0000","World Eats Bread, X-Men ’97, and Star Wars: Young Jedi Adventures are just a few of the shows you should be watching on Disney+ this month."
Wear This AI Friend Around Your Neck,https://www.wired.com/story/friend-ai-pendant/,"Tue, 30 Jul 2024 14:50:00 +0000","The latest attempt at an AI-powered wearable is an always-listening pendant. But it doesn’t help you be more productive, it just keeps you company."
Zombie Alt-Weeklies Are Stuffed With AI Slop About OnlyFans,https://www.wired.com/story/zombie-alt-weeklies-are-stuffed-with-ai-slop-about-onlyfans/,"Tue, 30 Jul 2024 14:28:59 +0000",Beloved alt-weeklies like the Village Voice have started publishing what appears to be AI-generated clickbait about OnlyFans.
A Senate Bill Would Radically Improve Voting Machine Security,https://www.wired.com/story/a-senate-bill-would-radically-improve-voting-machine-security/,"Tue, 30 Jul 2024 14:20:51 +0000",This year’s Intelligence Authorization Act would mandate penetration testing for federally certified voting machines and allow independent researchers to work on exposing vulnerabilities.
The Purple Track at the 2024 Summer Olympic Games Has a Secret Ingredient,https://www.wired.com/story/paris-summer-olympics-2024-purple-track-athletics-mondo/,"Tue, 30 Jul 2024 13:56:32 +0000","Recycled shells of mollusks native to the Mediterranean Sea were used to manufacture the synthetic floor of the athletics track, as part of the Games’ commitment to sustainability."
